City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Agadir,MA,30.4202,-9.5982,54.05,33,17,5.68,few clouds
179,Saskylakh,RU,71.9167,114.0833,-1.16,85,100,22.5,overcast clouds
180,Taoudenni,ML,22.6783,-3.9836,64.51,30,99,11.9,overcast clouds
181,Athabasca,CA,54.7169,-113.2854,3.61,100,65,1.92,broken clouds
182,Bethel,US,41.3712,-73.414,42.39,72,100,0.0,overcast clouds
183,Iralaya,HN,15.0,-83.2333,76.57,85,1,10.02,clear sky
184,Tabou,CI,4.423,-7.3528,76.23,87,100,3.31,overcast clouds
185,Doha,QA,25.2867,51.5333,64.71,72,99,10.36,overcast clouds
186,Poum,NC,-20.2333,164.0167,81.1,79,19,13.04,few clouds
187,Maniitsoq,GL,65.4167,-52.9,8.82,81,68,6.29,broken clouds
188,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,4.61,clear sky
189,Fukue,JP,32.6881,128.8419,46.76,57,75,11.5,broken clouds
190,Usinsk,RU,65.9939,57.5281,-17.81,100,41,4.09,scattered clouds
191,Qeshm,IR,26.9581,56.2719,69.67,41,81,13.38,broken clouds
192,Rangpur,BD,25.75,89.25,74.12,39,5,7.47,clear sky
193,Aksarka,RU,66.5606,67.7975,-23.84,100,80,4.92,broken clouds
194,Erdenet,MN,49.0333,104.0833,4.96,87,18,2.46,few clouds
195,Nouadhibou,MR,20.931,-17.0347,67.98,73,40,12.66,scattered clouds
196,Tual,ID,-5.6667,132.75,83.8,75,100,20.24,overcast clouds
197,Vao,NC,-22.6667,167.4833,78.17,88,96,18.86,overcast clouds
198,Chokurdakh,RU,70.6333,147.9167,-43.42,99,64,5.79,broken clouds
199,Aitape,PG,-3.1374,142.3475,81.36,78,85,9.17,overcast clouds
200,Kenai,US,60.5544,-151.2583,30.29,74,100,17.27,overcast clouds
201,Hervey Bay,AU,-25.2986,152.8535,75.99,84,99,19.04,overcast clouds
202,Zeya,RU,53.75,127.2667,-1.41,99,100,1.81,overcast clouds
203,High Level,CA,58.5169,-117.136,6.91,92,100,2.3,overcast clouds
204,Saint-Pierre,RE,-21.3393,55.4781,82.18,65,0,6.91,light rain
205,Necochea,AR,-38.5473,-58.7368,62.11,53,100,8.1,overcast clouds
206,Nagato,JP,34.3833,131.2,44.89,54,78,8.7,broken clouds
