City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Vao,NC,78.17,overcast clouds,-22.6667,167.4833,Nataiwatch
201,Hervey Bay,AU,75.99,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
205,Necochea,AR,62.11,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
208,San Jose De Guanipa,VE,70.57,scattered clouds,8.8872,-64.1651,Hotel Cel
214,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Morant Villas
220,Jacareacanga,BR,71.8,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
222,West Bay,KY,78.01,clear sky,19.3667,-81.4167,Bonnie's Arch
228,Havelock,US,65.93,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
245,Santa Cruz Cabralia,BR,75.43,scattered clouds,-16.2781,-39.0247,Campo Bahia Resort
250,Surt,LY,60.46,overcast clouds,31.2089,16.5887,فندق المدينة-سرت
255,Phalaborwa,ZA,69.08,overcast clouds,-23.943,31.1411,Hans Merensky Hotel & Estate
256,Olavarria,AR,67.01,clear sky,-36.8927,-60.3225,Santa Rosa Hotel
262,Lyndon,US,60.4,overcast clouds,38.2567,-85.6016,Homewood Suites Louisville East
263,San Lorenzo,PY,70.74,clear sky,-25.3333,-57.5333,Hotel del Sur
275,Tartagal,AR,68.77,overcast clouds,-22.5164,-63.8013,Majoy
276,Anloga,GH,77.63,overcast clouds,5.7947,0.8973,Hotel de White House
281,Sao Joao Da Barra,BR,72.59,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
297,Lubango,AO,67.87,overcast clouds,-14.9172,13.4925,Novo Hotel
301,Butembo,CD,66.74,light rain,0.15,29.2833,Canada House
307,Esperance,AU,79.29,clear sky,-33.8667,121.9,Hospitality
309,Praya,CV,68.54,few clouds,14.9215,-23.5087,Casa Sodadi
310,San-Pedro,CI,75.34,overcast clouds,4.7485,-6.6363,Hôtel La Cité De San Pédro
312,Lagoa,PT,60.44,overcast clouds,39.05,-27.9833,Casa da Madrinha
318,Iquique,CL,66.24,overcast clouds,-20.2208,-70.1431,Hostal Vivar
320,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Prainha
329,Tabuk,PH,71.76,overcast clouds,17.4189,121.4443,Davidson Hotel
348,Puerto Leguizamo,CO,75.79,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
